event_id,voice_id,role,parent_event_id,source_index,source_label,symbol,onset_quarter,duration_quarter,midi,pitch_class,velocity,pan,timbre,expected_pc,row_position,row_form,status,mapping_rule,codec_block,is_codec_carrier,gate_ratio,articulation,cc1_modulation,cc10_pan,cc74_brightness,cc91_reverb,cc93_chorus,brightness,reverb_mix,spatial_width,hydropathy,charge,contact_degree,value,uncertainty,relative_sasa,surface_wetness,backbone_rigidity,b_factor_normalized,sidechain_mass_normalized
0,V1_melody,foreground_melody,,0,2150459,METHYLATION_BETA,0.0,0.5,62,2,60,-0.12,viola,2,,,retained,epigenomics 主特征→调式音级；结构/数值→音区,,False,0.9,normal,,56,,,,0.72,0.15,0.3,0.027,0.0,0.5,0.027,0.0,0.0,0.0,0.0,0.0,0.0
1,V3_bass,structural_bass,0,0,2150459,METHYLATION_BETA,0.0,6.75,50,2,44,-0.18,cello,2,,,retained,序列/样本分组边界→持续低音；组值决定主音或属音,,False,0.9,normal,,52,,,,0.72,0.15,0.3,0.027,0.0,0.5,0.027,0.0,0.0,0.0,0.0,0.0,0.0
2,V4_horn_harmony,structural_harmony,0,0,2150459,METHYLATION_BETA,0.0,12.25,62,2,38,-0.42,french_horn,2,,,retained,结构/功能区块→圆号持续和声；接触度→音区张力,,False,0.9,normal,,37,,,,0.72,0.15,0.3,0.027,0.0,0.5,0.027,0.0,0.0,0.0,0.0,0.0,0.0
3,V5_viola_harmony,inner_harmony,0,0,2150459,METHYLATION_BETA,0.0,12.25,65,5,33,0.42,viola,5,,,retained,与圆号区块同步的中声部；理化特征控制三度色彩与音区,,False,0.9,normal,,90,,,,0.72,0.15,0.3,0.027,0.0,0.5,0.027,0.0,0.0,0.0,0.0,0.0,0.0
4,V6_harp_accents,structural_accent,0,0,2150459,METHYLATION_BETA,0.0,0.25,74,2,55,0.08,orchestral_harp,2,,,retained,结构边界/显著性→调式内一、三、五音级琶音（H_scale 硬约束）,,False,0.9,normal,,69,,,,0.72,0.15,0.3,0.027,0.0,0.5,0.027,0.0,0.0,0.0,0.0,0.0,0.0
5,V6_harp_accents,structural_accent,0,0,2150459,METHYLATION_BETA,0.25,0.25,77,5,50,0.26,orchestral_harp,5,,,retained,结构边界/显著性→调式内一、三、五音级琶音（H_scale 硬约束）,,False,0.9,normal,,80,,,,0.72,0.15,0.3,0.027,0.0,0.5,0.027,0.0,0.0,0.0,0.0,0.0,0.0
6,V1_melody,foreground_melody,,8,16355491,METHYLATION_BETA,0.5,0.75,67,7,68,-0.12,viola,7,,,retained,epigenomics 主特征→调式音级；结构/数值→音区,,False,0.9,normal,,56,,,,0.72,0.15,0.3,0.4593,0.0,0.5,0.4593,0.0,0.0,0.0,0.0,0.0,0.0
7,V6_harp_accents,structural_accent,0,0,2150459,METHYLATION_BETA,0.5,0.25,81,9,45,0.44,orchestral_harp,9,,,retained,结构边界/显著性→调式内一、三、五音级琶音（H_scale 硬约束）,,False,0.9,normal,,91,,,,0.72,0.15,0.3,0.027,0.0,0.5,0.027,0.0,0.0,0.0,0.0,0.0,0.0
8,V2_counterpoint,derived_counterpoint,6,8,16355491,METHYLATION_BETA,1.0,1.0,75,3,56,0.25,violin,3,,,retained,由同一生物事件延迟派生；按调式音级作反向三度对位（H_scale 硬约束）,,False,0.9,normal,,79,,,,0.72,0.15,0.3,0.4593,0.0,0.5,0.4593,0.0,0.0,0.0,0.0,0.0,0.0
9,V1_melody,foreground_melody,,16,21708023,METHYLATION_BETA,1.25,0.75,65,5,65,-0.12,viola,5,,,retained,epigenomics 主特征→调式音级；结构/数值→音区,,False,0.9,normal,,56,,,,0.72,0.15,0.3,0.3075,0.0,0.5,0.3075,0.0,0.0,0.0,0.0,0.0,0.0
