^SAMPLE = GSM484237
!Sample_title = small intestine_10003
!Sample_geo_accession = GSM484237
!Sample_status = Public on Dec 12 2009
!Sample_submission_date = Dec 11 2009
!Sample_last_update_date = Apr 13 2010
!Sample_type = genomic
!Sample_channel_count = 1
!Sample_source_name_ch1 = small Intestine
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = tissue: small Intestine
!Sample_characteristics_ch1 = pathogenicity: normal
!Sample_characteristics_ch1 = gender: male
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = DNA from fresh frozen tissue was isolated with QIAamp DNA mini kit (Qiagen, Valencia, CA).
!Sample_label_ch1 = Cy3,Cy5
!Sample_label_protocol_ch1 = DNA was sodium bisulfite modified using the EZ DNA Methylation Kit (Zymo Research, Orange, CA).
!Sample_hyb_protocol = Illumina GoldenGate® methylation bead arrays interrogated 1505 CpG loci associated with 803 cancer-related genes processed at the UCSF Institute for Human Genetics, Genomics Core Facility as described in Bibikova et al. High-throughput DNA methylation profiling using universal bead arrays. Genome research 2006;16:383-93.
!Sample_hyb_protocol = Bisulfite-converted DNAs are biotinylated and hybridized to query oligos, and washed. The hybridized oligos are then extended and ligated to create amplifiable templates with methylation-specific primers. The PCR that follows uses fluorescently labeled universal PCR primers.
!Sample_scan_protocol = Arrays were imaged using a BeadArray Reader scanner (Bibikova et al. High-throughput DNA methylation profiling using universal bead arrays. Genome research 2006;16:383-93).
!Sample_description = DNA (bisulfite modified).
!Sample_description = 10003_Small Intestine
!Sample_data_processing = Illumina BeadStudio Methylation software (version 3.2.0) was used for dataset assembly. Fluorescent signals for methylated (Cy5) and unmethylated (Cy3) alleles give methylation level: (β) = (max(Cy5 , 0))/(|Cy3| + |Cy5| + 100) with ~30 replicate bead measurements per locus. Detection P-values determined poor performing samples (n=2) and CpG loci (n=8), which were removed from analysis. X chromosome loci were also removed, leaving 1413 CpG loci associated with 773 genes. Raw average beta values were used and not subjected to normalization as per manufacturer's recommendations.
!Sample_platform_id = GPL9183
!Sample_contact_name = Brock,Clarke,Christensen
!Sample_contact_email = brock.clarke.christensen@dartmouth.edu
!Sample_contact_institute = Dartmouth Medical School
!Sample_contact_address = 7650 Remsen
!Sample_contact_city = Hanover
!Sample_contact_state = NH
!Sample_contact_zip/postal_code = 03755
!Sample_contact_country = USA
!Sample_supplementary_file = NONE
!Sample_series_id = GSE19434
!Sample_data_row_count = 1413
#ID_REF = 
#VALUE = raw average beta values (continuous and bounded by 0 & 1)
!sample_table_begin
ID_REF	VALUE
AATK_E63_R	0.96105
AATK_P519_R	0.8625
AATK_P709_R	0.62752
ABCA1_E120_R	0.02715
ABCA1_P45_F	0.03326
ABCB4_E429_F	0.94884
ABCB4_P51_F	0.9508
ABCB4_P892_F	0.91792
ABCC2_E16_R	0.80685
ABCC2_P88_F	0.95197
ABCC5_P444_F	0.03656
ABCG2_P178_R	0.12258
ABCG2_P310_R	0.02823
ABL1_P53_F	0.08191
ABL2_P459_R	0.24937
ABO_E110_F	0.13067
ABO_P312_F	0.10428
ACTG2_E98_R	0.84209
ACTG2_P346_F	0.81815
ACTG2_P455_R	0.94935
ACVR1_E328_R	0.80449
ACVR1_P983_F	0.88616
ACVR1B_E497_R	0.03635
ACVR1B_P572_R	0.17174
ACVR1C_P115_R	0.15027
ACVR1C_P363_F	0.15764
ACVR2B_E27_R	0.03163
ACVR2B_P676_F	0.11653
ADAMTS12_E52_R	0.30243
ADAMTS12_P250_R	0.05561
ADCYAP1_E163_R	0.02573
ADCYAP1_P398_F	0.04339
ADCYAP1_P455_R	0.08629
AFF3_P122_F	0.9014
AFF3_P808_F	0.97131
AFP_P824_F	0.92212
AGTR1_P154_F	0.05781
AGTR1_P41_F	0.02452
AGXT_E115_R	0.96372
AGXT_P180_F	0.90058
AHR_E103_F	0.03336
AHR_P166_R	0.06513
AIM2_E208_F	0.9467
AIM2_P624_F	0.84695
AKT1_P310_R	0.09979
ALK_E183_R	0.09967
ALK_P28_F	0.15757
ALOX12_E85_R	0.4286
ALOX12_P223_R	0.54905
ALPL_P278_F	0.02485
ALPL_P433_F	0.31253
AOC3_P890_R	0.53021
APBA1_E99_R	0.03437
APBA1_P644_F	0.04541
APBA2_P227_F	0.94707
APBA2_P305_R	0.89936
APC_E117_R	0.23428
APC_P14_F	0.2237
APC_P280_R	0.03837
APOA1_P261_F	0.84289
APOA1_P75_F	0.86269
APOC1_P406_R	0.86405
APOC2_P377_F	0.85166
APP_E8_F	0.04769
APP_P179_R	0.06701
AREG_E25_F	0.0442
AREG_P217_R	0.13582
ARHGAP9_P260_F	0.91671
ARHGAP9_P518_R	0.93508
ARHGDIB_P148_R	0.53765
ARNT_P238_R	0.03536
ASB4_E89_F	0.92839
ASB4_P391_F	0.92117
ASB4_P52_R	0.94016
ASCL1_E24_F	0.04484
ASCL1_P747_F	0.40325
ASCL2_E76_R	0.08982
ASCL2_P360_F	0.07592
ASCL2_P609_R	0.25352
ATP10A_P147_F	0.0554
ATP10A_P524_R	0.81098
AXL_E61_F	0.11869
AXL_P223_R	0.2017
B3GALT5_E246_R	0.87447
B3GALT5_P330_F	0.93555
BAX_E281_R	0.78417
BCAM_E100_R	0.04692
BCAM_P205_F	0.32835
BCL2A1_P1127_R	0.97174
BCL2L2_E172_F	0.09028
BCL2L2_P280_F	0.04357
BCL3_E71_F	0.43936
BCL3_P1038_R	0.03273
BCL6_P248_R	0.05049
BCR_P346_F	0.62451
BCR_P422_F	0.60883
BDNF_E19_R	0.11689
BDNF_P259_R	0.14314
BIRC5_E89_F	0.02768
BLK_P14_F	0.84594
BLK_P668_R	0.96085
BMP2_E48_R	0.03106
BMP2_P1201_F	0.06514
BMP3_E147_F	0.23964
BMP3_P56_R	0.03063
BMP4_P123_R	0.10594
BMP4_P199_R	0.40557
BMP6_P163_F	0.07499
BMP6_P398_F	0.03184
BMPR1A_E88_F	0.8047
BMPR1A_P956_F	0.02135
BMPR2_E435_F	0.03268
BMPR2_P1271_F	0.05158
BRCA1_P835_R	0.72969
BSG_P211_R	0.0853
C20orf47_P225_R	0.07446
C4B_E171_F	0.68668
C4B_P191_F	0.95843
CALCA_E174_R	0.20538
CALCA_P171_F	0.43883
CALCA_P75_F	0.07704
CAPG_E228_F	0.37093
CARD15_P302_R	0.1587
CARD15_P665_F	0.71082
CASP10_E139_F	0.08866
CASP10_P186_F	0.05002
CASP10_P334_F	0.13728
CASP2_P192_F	0.0365
CASP3_P420_R	0.04949
CASP6_P201_F	0.07693
CASP6_P230_R	0.0438
CASP8_E474_F	0.63519
CAV1_P130_R	0.14898
CAV1_P169_F	0.32087
CAV2_E33_R	0.02868
CCKAR_E79_F	0.82957
CCKAR_P270_F	0.8991
CCKBR_P361_R	0.03644
CCKBR_P480_F	0.03585
CCL3_E53_R	0.8265
CCL3_P543_R	0.94647
CCNA1_E7_F	0.04479
CCNA1_P216_F	0.04695
CCNC_P132_R	0.04564
CCND1_E280_R	0.07037
CCND1_P343_R	0.1062
CCND2_P887_F	0.03514
CCND2_P898_R	0.03406
